text,labels,label_text
"Afscme says In labor negotiations with city employees, Milwaukee Mayor Tom Barrett demanded concessions that went beyond those mandated by Gov. Scott Walkers collective bargaining law </s> a letter to members </s> <true statement 3.833270311355591> Donald Trump says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi. </s> the second 2016 presidential debate </s> <false statement 4.013778209686279> Donald Trump says The federal government is sending refugees to states with governors who are Republicans, not to the Democrats. </s> an interview on Laura Ingraham's radio show",0,true statement
"Rick Scott says All Aboard Florida is a 100 percent private venture. There is no state money involved. </s> a TV interview </s> <false statement 3.664231777191162> Donald Trump says The federal government is sending refugees to states with governors who are Republicans, not to the Democrats. </s> an interview on Laura Ingraham's radio show </s> <true statement 3.831820011138916> Patrick Murphy says Marco Rubio opposes immigration reform. Worse, Rubio supports Donald Trump. His plan would deport 800,000 children, destroying families. </s> a TV ad",0,true statement
"Julie Pace says The Obama administration is using as its legal justification for these airstrikes (on the Islamic State), an authorization for military force that the president himself has called for repeal of. </s> a question to White House Press Secretary Josh Earnest </s> <false statement 3.5803754329681396> Donald Trump says Hillary Clinton invented ISIS with her stupid policies. She is responsible for ISIS. </s> an interview on 60 Minutes </s> <true statement 3.869307518005371> Donald Trump says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi. </s> the second 2016 presidential debate",0,true statement
"John Kasich says We are now eighth in the nation in job creation . . . we are No. 1 in the Midwest. </s> a news conference </s> <true statement 3.851958990097046> Jorge Elorza says In the last six years of Ciancis administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence. </s> a debate </s> <false statement 4.010262966156006> Donald Trump says The federal government is sending refugees to states with governors who are Republicans, not to the Democrats. </s> an interview on Laura Ingraham's radio show",0,true statement
"Mike Pence says It was Hillary Clinton who left Americans in harms way in Benghazi and after four Americans fell said, What difference at this point does it make? </s> the Republican national convention </s> <true statement 3.7440342903137207> Jorge Elorza says In the last six years of Ciancis administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence. </s> a debate </s> <false statement 3.746598958969116> Donald Trump says You will learn more about Donald Trump by going down to the Federal Elections to see the financial disclosure form than by looking at tax returns. </s> a Presidential debate at Hofstra University",0,true statement
"Rand Paul says Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year. </s> an interview on Comedy Central's ""The Daily Show"" </s> <true statement 3.7997491359710693> Bernie S says We have the highest rate of childhood poverty of any major country on Earth. </s> an interview on CNN </s> <false statement 3.9633538722991943> Donald Trump says The federal government is sending refugees to states with governors who are Republicans, not to the Democrats. </s> an interview on Laura Ingraham's radio show",1,false statement
"Barack Obama says Stimulus tax cuts ""began showing up in paychecks of 4.8 million Indiana households about three months ago."" </s> a speech in Wakarusa, Ind. </s> <true statement 3.8199117183685303> Jorge Elorza says In the last six years of Ciancis administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence. </s> a debate </s> <false statement 3.916092872619629> Donald Trump says The federal government is sending refugees to states with governors who are Republicans, not to the Democrats. </s> an interview on Laura Ingraham's radio show",1,false statement
"Allen West says If you look at the application for a security clearance, I have a clearance that even the president of the United States cannot obtain because of my background. </s> a candidate forum </s> <false statement 3.760773181915283> Rush Limbaugh says 11 straight years of no major hurricanes striking land in the United States bores a hole right through the whole climate change argument. </s> a radio show broadcast </s> <true statement 3.77760648727417> Arizona Citizens Defense League says a gun bill before the Senate would make it a federal felony to leave town for more than seven days, and leave someone else at home with your firearms. </s> an email to supporters",1,false statement
Bernie S says We now work the longest hours of any people around the world. </s> a C-SPAN interview </s> <true statement 3.7155606746673584> Bernie S says We have the highest rate of childhood poverty of any major country on Earth. </s> an interview on CNN </s> <false statement 4.0561442375183105> Rush Limbaugh says 11 straight years of no major hurricanes striking land in the United States bores a hole right through the whole climate change argument. </s> a radio show broadcast,1,false statement
"Sarah Palin says Donald Trumps conversion to pro-life beliefs are akin to Justin Biebers, who said in the past that abortion was no big deal to him. </s> an interview on CNN </s> <false statement 3.7367687225341797> Donald Trump says The federal government is sending refugees to states with governors who are Republicans, not to the Democrats. </s> an interview on Laura Ingraham's radio show </s> <true statement 3.7425951957702637> Patrick Murphy says Marco Rubio opposes immigration reform. Worse, Rubio supports Donald Trump. His plan would deport 800,000 children, destroying families. </s> a TV ad",1,false statement
