text,labels,label_text
"Clings to the wall, doesn't flop around when a bag is pulled out, the mess of bags falling out is gone. </s> <not-counterfactual 3.161406993865967> And the dvd cases were tightly packed to ensure they didn't move around. </s> <counterfactual 3.308583974838257> The case is small, cord seems to always want to stay kinked and coiled, plug should be angled and not straight...which are all items that others have pointed out.",0,not-counterfactual
"I like these jeans they sit low enough without being inappropriate when you sit or bend over. </s> <counterfactual 2.606198310852051> ""But oddly enough, the bottoms are a little too loose in the waist (37\) and could have used another inch or two in the inseam ( I normally take a 35\"""" or 36\"""" in jeans, depending on the brand if this helps)."""""" </s> <not-counterfactual 2.6380045413970947> A tad loose but I rather have it fit this way than too tight.",0,not-counterfactual
"He was very professional and wish all transactions I make through Amazon were this good. </s> <not-counterfactual 3.3291680812835693> This new speaker was just what the doctor ordered and I couldn't be more pleased. </s> <counterfactual 3.4589436054229736> Had the person handling the shipping of this item been at all concerned with the use of the product at the end of the mailing process, the slightest bit of care could have been taken to ensure it's proper delivery.",0,not-counterfactual
Well written with a twist I didn't expect. </s> <not-counterfactual 2.651658535003662> The book had some interesting twists that I did see coming and I look forward to reading part two of this series. </s> <counterfactual 2.8373162746429443> Fun read Could have been a little longer with more detail.,0,not-counterfactual
Doesn't feel like the quality levi's I am used to. </s> <counterfactual 2.733877182006836> It has the same great comfortable & flattering features plus the great denim texture that Lee has perfected- smoothing and stretchy without the excessive cling- but I think it must have been designed for people who have a greater surplus of belly fat than I. </s> <not-counterfactual 2.856729745864868> Will keep but won't be that casual sexy top you always want to turn to.,0,not-counterfactual
"If we had wall studs, I believe the enclosed hardware would have been sufficient. </s> <not-counterfactual 2.6638145446777344> It was a little tricky to find the center of the studs using my stud finder but once I felt comfortable with the lines I had drawn, I drilled the pilot holes and bolted this thing to the wall. </s> <counterfactual 2.879924774169922> The only thing I would have like for it to have a hole in the middle so I can put the stopper in without removing the mat.",1,counterfactual
"If this ever turns into a film, I hope they do it justice! </s> <not-counterfactual 2.671574354171753> I read this book because of the motion picture that is coming out soon. </s> <counterfactual 3.1458709239959717> Was a good story, though there could have been more to it.",1,counterfactual
"If you don't want a prominent display this rack is too large for most bed or living rooms, it is wider and taller than my tall Broyhill wardrobe style dresser which was the largest piece in the room until this shoe rack. </s> <counterfactual 2.7353768348693848> I bought this mount because I wanted one that would sit on three studs instead of two because my TV is quite heavy and I would have had a hard time centering it on my wall if I didn't have the wide hanging rail that this one has. </s> <not-counterfactual 2.873617172241211> Good for under the bed shoe storage, IF the wife wants to use it.",1,counterfactual
I wish I could have seen all of the places he recommends! </s> <counterfactual 2.799947738647461> I wish I had had him as an instructor at college. </s> <not-counterfactual 3.3013432025909424> And as the ole man isn't any version of slender it was good that he got to try on some shirts before hand.,1,counterfactual
"I wish I could replace just that small stupid piece, since there's nothing wrong with the rest of the hose assembly. </s> <counterfactual 2.628289222717285> The only thing I would have like for it to have a hole in the middle so I can put the stopper in without removing the mat. </s> <not-counterfactual 2.9200568199157715> The only downside is my laptop does not have the screw holes on it and the screws do not retract far enough back for me to push the connector all the way in, but a simple smash will rid that issue (this thing is durable!)",1,counterfactual
