text,labels,label_text
"Homos demand that you accept their fudge packing. But none of us ever will- </s> <toxic 3.1383132934570312> So you admit you would exterminate inferior humans. </s> <not toxic 3.295428514480591> Mark MacKinnon and the interests he work for would like us to 'get used to it', because they don't want to do anything practical to stop it.",0,not toxic
"I don't think anyone likes this health care bill, it stinks for everyone. 50 years and older are going to get hammered with higher premiums. People with preexisting conditions will also see their premiums go through the roof. Eventually no one will be able to afford it. They're still not addressing the reason and the solution. Prescription drugs. Why are Americans paying 2 to 3 times higher for prescription drugs than Canadians are? They should sit down with Democrats and fix it not play musical chairs with our health care. Here is the add that AARP put out, and it has a fact check at the end. It's worth watching.
http://www.thedenverchannel.com/news/politics/aarp-ad-says-house-gop-health-care-bill-would-boost-insurance-rates-for-older-americans </s> <not toxic 2.5086519718170166> so in the mean time tens of thousands of Oregonians go without health insurance which will now be unaffordable to them. And sorry, the republicans have had 8 years to figure out a better system, they aren't going to do it anytime soon. Neither party has any desire to actually find a solution to all this.
Hopefully Trump will also soon eliminate the tax penalty for not having insurance so all us folks who buy our own insurance don't get penalized for not being able to afford to buy the insurance we are required to have. Of course he is probably clueless that detail even exists </s> <toxic 2.5147175788879395> hate to bust the bubble but over 60% of people including all those trump voters never liked or wanted obamacare and dont want it now. , trump has NOT told the gop to back off you lying sack of bs.. he wants it gone and replaced period and the gop are doing just that together WITH trump. , you will continue to turn reality into stupidity",0,not toxic
"Rather than call you a liar, I'll just post a link to HART's helicopter footage of this ""most densely populated"" ag land. 

https://www.youtube.com/watch?v=opJzRWWVDdw

And if you've been following a little closer, you'd know about the luxury towers and boutique hotels that developers are planning on fulfilling their TOD requirement with ""cash gifts"" to the city instead of actual affordable TOD. </s> <not toxic 2.9202661514282227> I suppose you just support urban sprawl then with that logic. </s> <toxic 2.9730660915374756> Why don't you go and live in one of their buildings and see what they're like? ""Deadbeats"" - you're an idiot. They're my neighbours.",0,not toxic
"Get the ""real news"" from Breitbart and Drudge Report? Ahahahahaha! Are you for real? </s> <toxic 2.634126901626587> ""If one read the Dispatch one would think Trump is the most evil person on the planet.""
Not evil, just idiotic. And it would be easy to give his behaviour a pass if he wasn't POTUS.
"".....five to eight anti-Trump stories per day. Never any good one's or one's that just stuck to the facts."" Well, when there's good a news Trump story to print, I'm sure ADN will be all over it, problem is, there's been a dearth of those since his election. Facts? Ok Rich, give us a list of incorrect facts in the above story. </s> <not toxic 2.9902079105377197> ""a gift from the political gods when the struggling effort to pass a health bill dominates the headlines.""

It was a gift from media that isn't worried about the actual news, they are more worried about trying to influence soft heads. CNN has been screwing up a lot when it comes to Trump, same with the NYT that is now being sued for libel. 

Every stupid mistake they make gives an even larger advantage to Trump and strengthens his supporters that already believe the MSM is biased against him and makes fence sitters begin to question what's news and what's crap. Like I've been saying, the MSM is slitting it's own throat.",0,not toxic
"Wud luv to see one of those American Boats with all the planes on it at the bottom of the sea. </s> <toxic 3.390166759490967> I bet Regent Seven Seas will never offer Mr Hammond another trip.
Wow, what a snarky article. He makes , I assume, some valid
points about food and atmosphere. However, after discovering the
treats available on his ""massive deck"" he ""blew off"" his remaining
restaurant reservations , donned his comfy bathrobe and ordered-in.
He was certainly not an ideal passenger and, for one floating on a freebie,
he's a total ingrate! </s> <not toxic 3.409156084060669> Now replaced by the sexy EA-18G Growler! Using a preexisting Military Operating Area! Get over it!!!!!!",0,not toxic
"Wtf, nowhere in scripture does it say that Elizabeth was a kid when married to Zachariah and nowhere does it say that Mary was a child when married to Joseph. That's a complete and utter fabrication. In fact, it says in Luke 1:42, ""And she spake out with a loud voice, and said, Blessed art thou among women, and blessed is the fruit of thy womb."" It says blessed art thou among WOMEN. </s> <not toxic 2.769857406616211> I was informed that my first grandchild had been conceived the evening of the day when I had inserted a prayer note in the Wailing Wall in Jerusalem that asked God to help my daughter conceive after a year of frustrated attempts. Maybe Elizabeth did the same thing? After all, she was in the same neighborhood. :-) </s> <toxic 2.9830095767974854> I don't know if the bishops ever told priests that if they rape a child and celebrate Mass they are committing sacrilege. But even if they didn't, the priest should know that...it is pretty basic Catholicism that receiving Communion with a mortal sin on your soul is sacrilege. 

By the logic of your second paragraph, there can never be a mortally sinful sexual act, since sex acts by definition occur in a state of passion. Which begs the question, why in this case would the Scriptures go through the trouble of condemning sexual immorality? This sounds like something your example of a rapist priest could say to himself to justify himself taking Communion in a state of mortal sin.",1,toxic
"Angela Merkel and all other European political leaders who have aided and abetted the ongoing invasion of Europe by the forces of the crescent moon death cult should be tried as accessories to Mr. Urban's murder. </s> <toxic 3.024935007095337> About 415 million Europeans cannot compete with Google, Amazon, Facebook, Oracle, Intel, Apple, etc. and the socialist European welfare states need more revenue because they are running out of other peoples' money.

Thus the Euro-socialist-bureaucrats pick the low-hanging fruit with litigious persecution of American firms which dominate because unlike their pathetic Euro-competitors, the U.S. firms are clever, hard-working, and well-capitalized.

If the the Europeans wish to engage in this transparent financial inquisition, then the US should respond with counter litigation for $trillions against corrupt scofflaws like VW ( think diesel fiddle!) as well as UBS/Credit Suisse/HSBC/Credit Lyonnaise (think tax cheats!)and sue/litigate them out of existence.

If the lazy, corrupt, incompetent Euros want to play with fire, then let them be financially incinerated! </s> <not toxic 3.2237966060638428> Rome should never have made such inane pronouncements at Trent in their attempt to define the substance of holy Eucharist. Most reasonable people understand that perfectly well. That Rome also made their pronouncements (faith and morals) ""infallible"" is equally tragic, for the simple reason that so-called infallible statements cannot be retracted without calling into question other so-called infallible statements.

Sincere question for you: If Jesus and his followers celebrated Eucharist as a communal meal seated around a table, what gives Rome the right to alter this simple act of worship (perhaps ""fellowship"" is a better word--more suited toward love of God and neighbor), given to us by the Lord himself?",1,toxic
"I hope you don't have kids if you see this woman's actions as acceptable. And I applaud the den for kicking the kid out. She brought unwanted negative attention upon them. However, she will, and is already likely, pay the the price for her stupid stunt. </s> <toxic 2.873025417327881> Ms. Van Brocklin: You state that there is Payne's conduct is inexcusable, then proceed to use the rest of your space to justify him and his actions. You have denigrated the proud courage of countless people who took up causes via civil disobedience. I marched in the non-violent peaceful Civil Rights protest. So the dogs and the firehoses used by a certain southern sheriff were justified, by your logic. So were the citizens beaten by Chicago police during the Democratic Convention Police riots. Resolved in 20 minutes? Nonsense. If Miss Wubbels hadn't protested as she did, she'd likely have ended up in a back room, somewhere, and who know when she would have been granted the presence of a lawyer and what she would have gone through prior to that. 
 You are completely ignorant of the shortage of nurses in this country - in some cases, critical shortages. And why would anyone want to be a nurse when they are disrespected by a former state and federal prosecutor such as you. </s> <not toxic 2.8961446285247803> Well, I can't very well respect or fear an imaginary sky-being. As for my concept of character, it was good enough for the Alaska Judicial Council and Governor Knowles. But that was long ago. I've gotten older and, crikey, maybe I am going downhill. You're right about the inappropriateness of my comment. First Lady Walker's piece is very laudable and I shouldn't have taken it as an occasion to rant. (But look on the bright side: my misplaced comment gave you yet another occasion to rant about how your Fosterism is saving civilization.)",1,toxic
"no one cares what a paid liberal trolling hack like you believes lunatic,, </s> <toxic 2.5876824855804443> It always amuses me when a troll gets on, they like their own comments and simply assert everyone else is wrong. Never any evidence to rebut it just blind assertions. </s> <not toxic 2.810284376144409> Ouch... didn’t see that one coming. A liberal stealing my own line... just like they take everything else they like.",1,toxic
"Ok all you NDP ""LEAP"" manifesto types, where is your hero Naomi Klein? Her fawning adoration of Chavez and Venezuelan thuggery knows no bounds. I'm sure she's awfully hysterical over the thought that such a pathetic dictstorship could ever be sanctioned. </s> <toxic 2.883418321609497> Um, no. The major left-wing Labour party was decimated; Mr. Rutte lost 8 seats; and Mr. Wilders Freedom party GAINED 4 seats. Now Mr. Rutte will have to garner favour among RIGHT-WING parties to cobble together his coalition. And as to your glib little comment about people ""embracing left-leaning parties"", you need only look to Canada to see the fiasco that results... The corrupt and divisive Trudeau government was elected on a slate of fuzzy, alt-left promises; only to renege on most of them ! </s> <not toxic 3.0424022674560547> So anyone who doesn't share your opinion is a ""raving loony?""

And as for my post being ""speculation? - which part - that the Liberals are the party in power, or that this involves money?

As for me not knowing what is going on, you are correct, I am not a member of the Liberal party insider clique, as you apparently are.",1,toxic
