text,labels,label_text
"Clings to the wall, doesn't flop around when a bag is pulled out, the mess of bags falling out is gone. </s> <not-counterfactual 3.161406993865967> And the dvd cases were tightly packed to ensure they didn't move around. </s> <counterfactual 3.289605140686035> If I had to come up with anything negative, I would say that the attachments don’t seem to stay on the vacuum cleaner when not in use - but that could be me not putting them on properly!",0,not-counterfactual
I like these jeans they sit low enough without being inappropriate when you sit or bend over. </s> <not-counterfactual 2.447404623031616> These shorts fit really well and look good too. </s> <counterfactual 2.550638198852539> The top fits great just wish the bottoms fit too.,0,not-counterfactual
He was very professional and wish all transactions I make through Amazon were this good. </s> <not-counterfactual 3.3291127681732178> This new speaker was just what the doctor ordered and I couldn't be more pleased. </s> <counterfactual 3.3897111415863037> But the author alleviated my concerns quickly with a few well-timed comments about how it was the man could have known that the arrangement was something Jack wanted.,0,not-counterfactual
"Well written with a twist I didn't expect. </s> <not-counterfactual 2.557446002960205> ""A bit workmanlike, not up to Lord's high standard of \A Night to Remember,\"""" but well-detailed, and a story that not many now know."""""" </s> <counterfactual 2.792485475540161> Wow I am really glad I didn't read these reviews BEFORE I read this book because I would have passed on the book and missed a really great start to a series that captured my attention and made me laugh all the while using my imagination and painting a clear picture of the author's world she was building for us.",0,not-counterfactual
Doesn't feel like the quality levi's I am used to. </s> <counterfactual 2.5612902641296387> i was hoping the pants would be thicker but being that it's not too expensive it's understandable. </s> <not-counterfactual 2.572395086288452> But it doesn't have a lining like the last couple models I bought.,0,not-counterfactual
"If we had wall studs, I believe the enclosed hardware would have been sufficient. </s> <not-counterfactual 2.6638145446777344> It was a little tricky to find the center of the studs using my stud finder but once I felt comfortable with the lines I had drawn, I drilled the pilot holes and bolted this thing to the wall. </s> <counterfactual 2.771395206451416> Wish it had a little more padding, otherwise just as advertised.",1,counterfactual
"If this ever turns into a film, I hope they do it justice! </s> <not-counterfactual 2.671574354171753> I read this book because of the motion picture that is coming out soon. </s> <counterfactual 3.141676187515259> Wish this story would have been longer and turned into a book, with some gut wrenching action, love/hate lovers quarrels scenes, with a happy ending at the end...",1,counterfactual
"If you don't want a prominent display this rack is too large for most bed or living rooms, it is wider and taller than my tall Broyhill wardrobe style dresser which was the largest piece in the room until this shoe rack. </s> <counterfactual 2.7353768348693848> I bought this mount because I wanted one that would sit on three studs instead of two because my TV is quite heavy and I would have had a hard time centering it on my wall if I didn't have the wide hanging rail that this one has. </s> <not-counterfactual 2.873617172241211> Good for under the bed shoe storage, IF the wife wants to use it.",1,counterfactual
I wish I could have seen all of the places he recommends! </s> <counterfactual 2.7999041080474854> I wish I had had him as an instructor at college. </s> <not-counterfactual 3.2604622840881348> I wanted to order him a few afordable hats I wouldn't mind him loosing.,1,counterfactual
"I wish I could replace just that small stupid piece, since there's nothing wrong with the rest of the hose assembly. </s> <counterfactual 2.474032402038574> I wish I could just hook up a hose rather than connecting and routing an tube internally </s> <not-counterfactual 2.9200568199157715> The only downside is my laptop does not have the screw holes on it and the screws do not retract far enough back for me to push the connector all the way in, but a simple smash will rid that issue (this thing is durable!)",1,counterfactual
