text,labels,label_text
"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT </s> <hate speech 2.7132835388183594> RT @WaavyLee: His balls ashy RT @Yattabing: @Trelaire1st: Real women do this http://t.co/VG5DBqH8aT&#8221; and real faggots let em do that.. Smh </s> <offensive language 2.7854363918304443> RT @JayyMfCarter: If you gotta nigga or bitch.... PLEASE STAY OUT MY DM's I'm tired of y'all taken girls </s> <neither 3.0996105670928955> @NeonTreezz @PoCBeauty ......so.....white people selling #African art? NOT COOL? Okay. #blackish #redskins #doublestandard",0,hate speech
"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26 </s> <hate speech 2.6058554649353027> @samzbikowski some negro amigo pulled a gun on Nate and I a few weeks ago. I was STOKED!&#128299;&#128299;&#128299; </s> <neither 2.670192003250122> RT @jennaferjenbub: &#8220;@BarryClerjuste: ""Anything below a A+ and we disown you ling ling"" http://t.co/m1QiWK4xZg&#8221; @AustinBedsaul </s> <offensive language 2.740609645843506> &#8220;@Alondra_Lu: Ain't that a bitch&#8221;",0,hate speech
"RT @IsaidNick: niggers are so ignorant http://t.co/P9jDdVsRVb </s> <hate speech 2.057800769805908> RT @WhitesOnly_1: #niggers! http://t.co/Hb3uJaLky2 </s> <neither 2.7749483585357666> &amp; thots are wearing Uggs RT @BigBootyJudy814: #ItsFallBecause negros are pulling out their Timbs"" </s> <offensive language 2.926729440689087> RT @Jayy_Gee96: Dumb bitches",0,hate speech
RT @RosieZaya1: Ur fucking white trash </s> <hate speech 2.422173500061035> @FrankieJGrande fugly queer white trash </s> <offensive language 2.6756434440612793> RT @Jayy_Gee96: Dumb bitches </s> <neither 2.783188819885254> RT @BeardedNixon: Poont gotta be trash,0,hate speech
"@mike_ray7 congratulations, you are officially fucking retarded. </s> <hate speech 2.4854748249053955> @darthdanaa Yes you do retard. </s> <offensive language 2.851564645767212> Lol!! &#8220;@ItzSweetz_Bitch: Ooop! QT @TiFFANY_P0RSCHE: You little twats.&#8221; </s> <neither 2.8971688747406006> RT @jennaferjenbub: &#8220;@BarryClerjuste: ""Anything below a A+ and we disown you ling ling"" http://t.co/m1QiWK4xZg&#8221; @AustinBedsaul",0,hate speech
"gonna have them pussies mix up some concrete today. teach them to pose like me. I am a badass motherfucker. and I will let you be too (: </s> <offensive language 2.7589027881622314> @40oz_VAN IYCMI. I can't get any work done if you keep showin off your bitches. </s> <hate speech 2.8690829277038574> #SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day </s> <neither 3.0193798542022705> @cakedjake We're laying rock around our lake. You're welcome to join a redneck workout. #muscles &#128170;&#128513;",1,offensive language
"@maddieevaans u call ur bestie a bitch I'm guessing she's a dog that barks too much </s> <offensive language 3.0170230865478516> Lol!! &#8220;@ItzSweetz_Bitch: Ooop! QT @TiFFANY_P0RSCHE: You little twats.&#8221; </s> <hate speech 3.0850884914398193> @Princesslexii16 Fucking coon </s> <neither 3.21132493019104> lmaoooo RT @ComedyTruth: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst.",1,offensive language
"No less than 3 bad bitches in my bed at a time... </s> <offensive language 3.023017406463623> Don't lose sleep bout these bitches bc they come and go &#128076; </s> <hate speech 3.2786214351654053> bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em </s> <neither 3.4171059131622314> Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.",1,offensive language
"RT @TheDrugTribe: mary isn't a backstabbing bitch that lies and deceives me </s> <offensive language 2.991457939147949> RT @StevStiffler: If her bio says ""Only God can judge me"" she's a hoe. </s> <hate speech 3.098494529724121> RT @sorryimalex: I got called a faggot for buying girl toms so now I'm gonna fuck that person in the ass </s> <neither 3.3266849517822266> lmaoooo RT @ComedyTruth: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst.",1,offensive language
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #CloseUp | Squirting pussy and fingered asshole http://t.co/bKYeoUwWv2 </s> <neither 1.5677733421325684> #porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/XxcdQvzI9t </s> <hate speech 2.8566393852233887> RT @mitchmancuso: @BrantPrintup:What straight guys take a picture of themselves naked in a hot tun.What fags @jakesiwy @Ryan_Murphy3 @Randy&#8230; </s> <offensive language 2.932191848754883> Lol!! &#8220;@ItzSweetz_Bitch: Ooop! QT @TiFFANY_P0RSCHE: You little twats.&#8221;",1,offensive language
