text,labels,label_text
"Homos demand that you accept their fudge packing. But none of us ever will- </s> <toxic 3.1383495330810547> So you admit you would exterminate inferior humans. </s> <not toxic 3.2954952716827393> Mark MacKinnon and the interests he work for would like us to 'get used to it', because they don't want to do anything practical to stop it.",0,not toxic
"I don't think anyone likes this health care bill, it stinks for everyone. 50 years and older are going to get hammered with higher premiums. People with preexisting conditions will also see their premiums go through the roof. Eventually no one will be able to afford it. They're still not addressing the reason and the solution. Prescription drugs. Why are Americans paying 2 to 3 times higher for prescription drugs than Canadians are? They should sit down with Democrats and fix it not play musical chairs with our health care. Here is the add that AARP put out, and it has a fact check at the end. It's worth watching.
http://www.thedenverchannel.com/news/politics/aarp-ad-says-house-gop-health-care-bill-would-boost-insurance-rates-for-older-americans </s> <not toxic 2.5086519718170166> so in the mean time tens of thousands of Oregonians go without health insurance which will now be unaffordable to them. And sorry, the republicans have had 8 years to figure out a better system, they aren't going to do it anytime soon. Neither party has any desire to actually find a solution to all this.
Hopefully Trump will also soon eliminate the tax penalty for not having insurance so all us folks who buy our own insurance don't get penalized for not being able to afford to buy the insurance we are required to have. Of course he is probably clueless that detail even exists </s> <toxic 2.801957607269287> reducing number of brackets. Another is lowering corporate tax rates which would be OK if all loopholes, including tax-free political donations for wealthy people only. Another is doubling the earned income tax credit which would help families with children but for people like me, would not make up for loss of the state tax deduction. Essentially the proposed tax ""reform bill as it stands is a huge wealth transfer, from working people and the treasury to the offshore accounts of wealthy people and corporations. Median earners like me will be screwed. Poor people with children will be screwed. The rich will get a huge bundle of cash, and the Republicans will lead us further into deep debt.

That's if Ryan and McConnell can pass this huge sack of excrement.",0,not toxic
"Rather than call you a liar, I'll just post a link to HART's helicopter footage of this ""most densely populated"" ag land. 

https://www.youtube.com/watch?v=opJzRWWVDdw

And if you've been following a little closer, you'd know about the luxury towers and boutique hotels that developers are planning on fulfilling their TOD requirement with ""cash gifts"" to the city instead of actual affordable TOD. </s> <not toxic 3.0351996421813965> So are you saying we should build the road. Lots of doom and gloom but I'm missing your point. </s> <toxic 3.1464040279388428> Isn't that terrible? Caldwell and Inouye do not know the amount a 10-year extension would raise yet they are proposing it. Caldwell asked for two years and he got it. Two years later he is now asking for ten years. Now, which is only weeks later, HART director is claiming 10 years is insufficient. This scenario shows our mayor and HART do not know the scope of this project. Pathetic!",0,not toxic
"Get the ""real news"" from Breitbart and Drudge Report? Ahahahahaha! Are you for real? </s> <toxic 2.634126901626587> ""If one read the Dispatch one would think Trump is the most evil person on the planet.""
Not evil, just idiotic. And it would be easy to give his behaviour a pass if he wasn't POTUS.
"".....five to eight anti-Trump stories per day. Never any good one's or one's that just stuck to the facts."" Well, when there's good a news Trump story to print, I'm sure ADN will be all over it, problem is, there's been a dearth of those since his election. Facts? Ok Rich, give us a list of incorrect facts in the above story. </s> <not toxic 3.0248677730560303> With dismay I noticed that ADN had printed yet another column from Fox commentator Charles Krauthammer but after reading it I'm glad the editors chose it as the feature article on the opinion page. Krauthammer is also a psychiatrist so his analyses of Trump as a man who has never emotionally, intellectually developed beyond adolescence holds some weight. But what does it say about Trumps supporters that so many millions of them can't see through the boorish, confrontational attitude of the man? How can so many Americans have devolved into such anger, fear and irrationality that they would/could find redemption in Trump after how he has exposed his true narcissistic self for all to see. When you've lost the Jennifer Rubins and Charles Krauthammer's of the media world you've lost the battle yet the Trumpian cult members will soldier on and then become even angrier and more full of fear after the election. Something to do with their choice of ""information"" sources no doubt.",0,not toxic
"Wud luv to see one of those American Boats with all the planes on it at the bottom of the sea. </s> <toxic 3.3901054859161377> I bet Regent Seven Seas will never offer Mr Hammond another trip.
Wow, what a snarky article. He makes , I assume, some valid
points about food and atmosphere. However, after discovering the
treats available on his ""massive deck"" he ""blew off"" his remaining
restaurant reservations , donned his comfy bathrobe and ordered-in.
He was certainly not an ideal passenger and, for one floating on a freebie,
he's a total ingrate! </s> <not toxic 3.409156084060669> Now replaced by the sexy EA-18G Growler! Using a preexisting Military Operating Area! Get over it!!!!!!",0,not toxic
"Wtf, nowhere in scripture does it say that Elizabeth was a kid when married to Zachariah and nowhere does it say that Mary was a child when married to Joseph. That's a complete and utter fabrication. In fact, it says in Luke 1:42, ""And she spake out with a loud voice, and said, Blessed art thou among women, and blessed is the fruit of thy womb."" It says blessed art thou among WOMEN. </s> <not toxic 2.769857406616211> I was informed that my first grandchild had been conceived the evening of the day when I had inserted a prayer note in the Wailing Wall in Jerusalem that asked God to help my daughter conceive after a year of frustrated attempts. Maybe Elizabeth did the same thing? After all, she was in the same neighborhood. :-) </s> <toxic 3.286393880844116> Christians who support Trump are the most mind-boggling to me. I just don't see how they square the circle between Trump and their moral foundations. 

“Beware then of useless grumbling, and keep your tongue from slander; because no secret word is without result, and a lying mouth destroys the soul.” (Wisdom 1:11)

If that is the case, then Trump's soul was utterly destroyed decades ago.",1,toxic
"Angela Merkel and all other European political leaders who have aided and abetted the ongoing invasion of Europe by the forces of the crescent moon death cult should be tried as accessories to Mr. Urban's murder. </s> <toxic 3.2037758827209473> that's what happens when you betray the people of your country for foreign bs. let's go Le Pen, Geert Wilders. If the media refuses to mention the muslim crisis the total incompatibility of primitive, uneducated muslim males swarming countries and turning them into misogynistic fundamentalist religious areas then we need these people to save us from YOU! </s> <not toxic 3.2326502799987793> your first mistake is believing what a politician says because generally it has nothing to do with what they do.

The Libs will be happy to let this die because Monsef is now a very poor salesman given her own immigration dishonesty. That said if the election prospects sour significantly for the Libs I have no doubts that PM Butts will ram through Ranked Ballot",1,toxic
"I hope you don't have kids if you see this woman's actions as acceptable. And I applaud the den for kicking the kid out. She brought unwanted negative attention upon them. However, she will, and is already likely, pay the the price for her stupid stunt. </s> <toxic 2.8730525970458984> Ms. Van Brocklin: You state that there is Payne's conduct is inexcusable, then proceed to use the rest of your space to justify him and his actions. You have denigrated the proud courage of countless people who took up causes via civil disobedience. I marched in the non-violent peaceful Civil Rights protest. So the dogs and the firehoses used by a certain southern sheriff were justified, by your logic. So were the citizens beaten by Chicago police during the Democratic Convention Police riots. Resolved in 20 minutes? Nonsense. If Miss Wubbels hadn't protested as she did, she'd likely have ended up in a back room, somewhere, and who know when she would have been granted the presence of a lawyer and what she would have gone through prior to that. 
 You are completely ignorant of the shortage of nurses in this country - in some cases, critical shortages. And why would anyone want to be a nurse when they are disrespected by a former state and federal prosecutor such as you. </s> <not toxic 2.92986798286438> Acquit her, then commit her. This womens cheese has slid so far off the cracker she's a danger to herself and to others.

Animal rights activism is a just cause, but her and her group have gone off the deep end into radical extremist territory.",1,toxic
"no one cares what a paid liberal trolling hack like you believes lunatic,, </s> <toxic 2.6076736450195312> aa another hate filled left winger again! save the stupid nonsense sheep, trump is not causing anything, our weak leadership is. </s> <not toxic 2.810284376144409> Ouch... didn’t see that one coming. A liberal stealing my own line... just like they take everything else they like.",1,toxic
"Ok all you NDP ""LEAP"" manifesto types, where is your hero Naomi Klein? Her fawning adoration of Chavez and Venezuelan thuggery knows no bounds. I'm sure she's awfully hysterical over the thought that such a pathetic dictstorship could ever be sanctioned. </s> <toxic 2.941824436187744> Ms. Van Brocklin: You state that there is Payne's conduct is inexcusable, then proceed to use the rest of your space to justify him and his actions. You have denigrated the proud courage of countless people who took up causes via civil disobedience. I marched in the non-violent peaceful Civil Rights protest. So the dogs and the firehoses used by a certain southern sheriff were justified, by your logic. So were the citizens beaten by Chicago police during the Democratic Convention Police riots. Resolved in 20 minutes? Nonsense. If Miss Wubbels hadn't protested as she did, she'd likely have ended up in a back room, somewhere, and who know when she would have been granted the presence of a lawyer and what she would have gone through prior to that. 
 You are completely ignorant of the shortage of nurses in this country - in some cases, critical shortages. And why would anyone want to be a nurse when they are disrespected by a former state and federal prosecutor such as you. </s> <not toxic 3.0424022674560547> So anyone who doesn't share your opinion is a ""raving loony?""

And as for my post being ""speculation? - which part - that the Liberals are the party in power, or that this involves money?

As for me not knowing what is going on, you are correct, I am not a member of the Liberal party insider clique, as you apparently are.",1,toxic
