text,labels,label_text
"What rapper still relevant and popular today has the best rhyme schemes? </s> <valid question 3.7103171348571777> What is the oldest fashion trends running yet? </s> <insincere question 3.871907949447632> What would be a good nickname for Trump, Donald Dumbck, and President Spankovich?",0,valid question
"Which books do you suggest to someone who get a free time and will help him stay motivated? </s> <valid question 3.1401429176330566> How can I stay motivated when learning something new? </s> <insincere question 3.7235560417175293> I'm hungry and I'm too lazy too get out of bed, should I get a psychologist or ask you questions?",0,valid question
How will you feel if someone talks badly about Kunti? </s> <insincere question 3.4893462657928467> Does Tamil Isai Soundarajan support Vijayendra for disrespecting the Tamil Anthem? </s> <valid question 3.5355563163757324> How do I stop feeling bad after a girl had a crush on me?,0,valid question
Why is equine HYPP inherited? </s> <valid question 3.5067965984344482> What disadvantages do animals that don't have bones face? </s> <insincere question 3.6035702228546143> Can female animals with male humans sex?,0,valid question
How do the Valerie Stevens leather jackets achieve their quality during the manufacturing process? </s> <valid question 2.747288227081299> How are the Lancaster leather sofas manufactured? </s> <insincere question 3.9087233543395996> Are Newport cigarettes designed to selectively destroy black people's DNA?,0,valid question
"Is Ariana Grande really as mean and bitchy as she seems? </s> <valid question 3.183567762374878> I like this girl who used to be quite rude and would run through boyfriends very fast. But now that school started again, she seems to have gotten a lot nicer throughout Summer. Is she faking her politeness, and is it worth pursuing her? </s> <insincere question 3.3253660202026367> Why is Alia Bhatt so dumb?",1,insincere question
"Do you guys know that aliens are real and all those satellites we send up in space work as a sort of tracking device for them so in a few years it will be too late for Earth? </s> <insincere question 3.0673365592956543> Isn't it obvious now that walking on the moon by the Americans was a hoax, because walking on the bright side of the moon, even in a space suit would be fatal? </s> <valid question 3.1978228092193604> Why do we weunch satellites?",1,insincere question
"Is it politically incorrect to say female privilege, but it is a more accurate term to say, white female privilege? </s> <insincere question 2.9176158905029297> How does the privilege of being attractive compare to the privilege of being White in the US? </s> <valid question 3.112481117248535> Is the media wrong for enforcing gender stereotypes?",1,insincere question
"On Mother’s Day, is it reasonable to reflect there is some truth in the unfashionable notion than women are more driven by emotion and men more driven by reason? </s> <insincere question 2.9901626110076904> Do you agree that females think with their brains and males with their testicles? </s> <valid question 3.1890125274658203> Why are some women uninterested in sex?",1,insincere question
"If the U.S. president is a role model, is it acceptable for children to say ""go fuck yourself,"" and use the word ""pussy"" to describe women? </s> <insincere question 2.994286298751831> Why do feminists let their daughters have sex with their boyfriend’s at home? </s> <valid question 3.456286907196045> Do you agree with Congressman Steve King's comments on immigrant children in detention centers?",1,insincere question
