text,labels,label_text
"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT </s> <hate speech 3.680654525756836> @AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist </s> <offensive language 3.9933786392211914> @Tamela_X But a wannabe ghetto white girl will deal with an unaccomplished black man for more than sex. </s> <neither 4.20903205871582> @VNNForum These Marxist kikes promoted Anti-Semitism by creating this film, what was their incentive? They just promote their enemies.",0,hate speech
"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26 </s> <neither 3.5232555866241455> @LanceTHESPOKEN Statement of the Day: Ppl who RT @ChiefsatWar are even dumber than he is. The ole birds of a feather type of deal. </s> <hate speech 3.5796432495117188> @Brenddan_ they said some bullshit. Damn niggers </s> <offensive language 3.7068209648132324> BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them ""@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr""&#8221;",0,hate speech
"RT @IsaidNick: niggers are so ignorant http://t.co/P9jDdVsRVb </s> <hate speech 3.2627384662628174> @AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist </s> <neither 3.7804527282714844> @VNNForum These Marxist kikes promoted Anti-Semitism by creating this film, what was their incentive? They just promote their enemies. </s> <offensive language 3.9285027980804443> @Tamela_X But a wannabe ghetto white girl will deal with an unaccomplished black man for more than sex.",0,hate speech
"RT @RosieZaya1: Ur fucking white trash </s> <hate speech 2.951470136642456> @AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist </s> <offensive language 3.6144936084747314> @Tamela_X But a wannabe ghetto white girl will deal with an unaccomplished black man for more than sex. </s> <neither 3.7668633460998535> @VNNForum These Marxist kikes promoted Anti-Semitism by creating this film, what was their incentive? They just promote their enemies.",0,hate speech
"@mike_ray7 congratulations, you are officially fucking retarded. </s> <neither 3.4077796936035156> RT @JakeG_BasedGod: ""Never go full retard"" </s> <hate speech 3.479813575744629> @Brenddan_ they said some bullshit. Damn niggers </s> <offensive language 3.601623773574829> BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them ""@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr""&#8221;",0,hate speech
"gonna have them pussies mix up some concrete today. teach them to pose like me. I am a badass motherfucker. and I will let you be too (: </s> <hate speech 3.227602243423462> @AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist </s> <offensive language 3.5520639419555664> BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them ""@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr""&#8221; </s> <neither 3.809976816177368> RT @Venus_Lynn: &#8220;@dylxnl: look ghetto but it work http://t.co/chrvW9dPca&#8221;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;",1,offensive language
"@maddieevaans u call ur bestie a bitch I'm guessing she's a dog that barks too much </s> <offensive language 3.2484242916107178> RT @Im_Amy_Bitches: I'm not always a bitch, sometimes I sleep </s> <hate speech 3.3403964042663574> Women who are feminist are the ugly bitches who cant find a man for themselves </s> <neither 3.8210768699645996> Gary's girl was a tranny. RT @Em_99car: I wonder what would have become of @rickspringfield if he'd written 'Gary's Girl'.",1,offensive language
"No less than 3 bad bitches in my bed at a time... </s> <offensive language 3.2010550498962402> Then again... i shoot bitches in the ass for doing some stupid shit like key my car or bust my windows. </s> <hate speech 3.666656732559204> bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em </s> <neither 4.249817848205566> &#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/ZsAAzFL0p5",1,offensive language
"RT @TheDrugTribe: mary isn't a backstabbing bitch that lies and deceives me </s> <offensive language 3.4536943435668945> RT @Im_Amy_Bitches: I'm not always a bitch, sometimes I sleep </s> <hate speech 3.6065785884857178> @vinny2vicious faggot I knew you weren't really my friend. </s> <neither 3.638406753540039> Gary's girl was a tranny. RT @Em_99car: I wonder what would have become of @rickspringfield if he'd written 'Gary's Girl'.",1,offensive language
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #CloseUp | Squirting pussy and fingered asshole http://t.co/bKYeoUwWv2 </s> <offensive language 3.5574071407318115> BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them ""@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr""&#8221; </s> <neither 3.6928675174713135> #DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt; </s> <hate speech 3.7489092350006104> Wake up you stoopid dyke @RandyPawlik",1,offensive language
My baby guinea pig is so cute #Adorable </s> <hate speech 3.82438588142395> @whiteangelss84 y dont u end us monkeys then? U hate us because were better than crackers &amp; I love it. Deep down u know weve done nothin 2 u </s> <offensive language 3.8302881717681885> I always wanted a bull dog them hoes clean fuck a pit </s> <neither 3.8650126457214355> Breakfast fried chicken jerk chicken Tater tots white rice nd press yellow rice nd beans Mac nd cheese http://t.co/Usz8gJnZl0,2,neither
"RT @Kick_Man: Giants- Pitiful .. Jets-Pitiful .. Mets- Pitiful .. Yankees-Pitiful .. Nets- Pitiful .. Knicks-Pitiful ... Ny sports- Pitiful </s> <neither 3.8152754306793213> You know I'm not big on the NFL, but I'm so sick of hearing all of this ""Black and yellow"" shit. LOL @ bandwagon fans and hell, GO PACKERS! </s> <offensive language 4.071953773498535> BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them ""@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr""&#8221; </s> <hate speech 4.095180511474609> @whiteangelss84 y dont u end us monkeys then? U hate us because were better than crackers &amp; I love it. Deep down u know weve done nothin 2 u",2,neither
"@jesstoth we could get matching burner phones and be ghetto fab for a few months </s> <hate speech 3.4667954444885254> @whiteangelss84 y dont u end us monkeys then? U hate us because were better than crackers &amp; I love it. Deep down u know weve done nothin 2 u </s> <offensive language 3.595543622970581> RT @NickBratton3: I wish my parents bought me a car man..
People bitch about not getting what car they want when they want it, and its free&#8230; </s> <neither 3.6075007915496826> RT @Venus_Lynn: &#8220;@dylxnl: look ghetto but it work http://t.co/chrvW9dPca&#8221;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;",2,neither
"Thw White Iron Band plays this weekend in Fargo,ND at the Aquarium(21+) ,Friday(10-29-10) with Charlie Parr. The next night,Saturday... </s> <hate speech 3.8393898010253906> &#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293; </s> <offensive language 3.9061098098754883> I be telling Mcgirt music ain't enough.You gotta have a non music related agenda.Them crackers want to sell something with your face. </s> <neither 3.980140447616577> You know I'm not big on the NFL, but I'm so sick of hearing all of this ""Black and yellow"" shit. LOL @ bandwagon fans and hell, GO PACKERS!",2,neither
"RT @dsrtvet: @FoxNews @tjoy7 And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&#8230; </s> <neither 3.78818678855896> RT @lachlan: So who wants to tell the Washington Post that Charlie Crist is a Democrat? http://t.co/LGzzYusEKZ http://t.co/2jCVv7qxqf </s> <hate speech 3.942119598388672> @whiteangelss84 y dont u end us monkeys then? U hate us because were better than crackers &amp; I love it. Deep down u know weve done nothin 2 u </s> <offensive language 3.984135150909424> BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them ""@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr""&#8221;",2,neither
