text,labels,label_text
"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT </s> <offensive language 2.6535706520080566> RT @CurrenSy_Spitta: And if a bitch can't respect a nigga wit some paper and a fresh pair of bball shorts then she was raised terribly.. </s> <hate speech 2.7132835388183594> RT @WaavyLee: His balls ashy RT @Yattabing: @Trelaire1st: Real women do this http://t.co/VG5DBqH8aT&#8221; and real faggots let em do that.. Smh </s> <neither 3.0996105670928955> @NeonTreezz @PoCBeauty ......so.....white people selling #African art? NOT COOL? Okay. #blackish #redskins #doublestandard",0,hate speech
"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26 </s> <hate speech 2.545886278152466> RT @Tae_Rhodes: &#8220;@kim92493: &#8220;@Tae_Rhodes: @kim92493 @patpatbush uhhh you've been judged&#8221; it happens. #whitepower...I'll hang you nigger&#8221; wo&#8230; </s> <offensive language 2.6044790744781494> &#8220;@NoRapist: on my way to fuck ur bitch http://t.co/SgVBBrwOg2&#8221; @mckinley719 </s> <neither 2.670259714126587> RT @jennaferjenbub: &#8220;@BarryClerjuste: ""Anything below a A+ and we disown you ling ling"" http://t.co/m1QiWK4xZg&#8221; @AustinBedsaul",0,hate speech
"RT @IsaidNick: niggers are so ignorant http://t.co/P9jDdVsRVb </s> <hate speech 2.057800769805908> RT @WhitesOnly_1: #niggers! http://t.co/Hb3uJaLky2 </s> <neither 2.7749483585357666> &amp; thots are wearing Uggs RT @BigBootyJudy814: #ItsFallBecause negros are pulling out their Timbs"" </s> <offensive language 2.8298287391662598> This Uncle Tom mother fucking wants to invoke 3/5 a man in his speech? Dude you ain't white no matter how much... http://t.co/3yrcyC9ezc",0,hate speech
RT @RosieZaya1: Ur fucking white trash </s> <hate speech 2.422173500061035> @FrankieJGrande fugly queer white trash </s> <offensive language 2.6756434440612793> RT @Jayy_Gee96: Dumb bitches </s> <neither 2.783188819885254> RT @BeardedNixon: Poont gotta be trash,0,hate speech
"@mike_ray7 congratulations, you are officially fucking retarded. </s> <hate speech 2.4854748249053955> @darthdanaa Yes you do retard. </s> <offensive language 2.8516175746917725> Lol!! &#8220;@ItzSweetz_Bitch: Ooop! QT @TiFFANY_P0RSCHE: You little twats.&#8221; </s> <neither 2.8972203731536865> RT @jennaferjenbub: &#8220;@BarryClerjuste: ""Anything below a A+ and we disown you ling ling"" http://t.co/m1QiWK4xZg&#8221; @AustinBedsaul",0,hate speech
"gonna have them pussies mix up some concrete today. teach them to pose like me. I am a badass motherfucker. and I will let you be too (: </s> <offensive language 2.758687734603882> @40oz_VAN IYCMI. I can't get any work done if you keep showin off your bitches. </s> <hate speech 2.8036365509033203> Just to get u mad go on your search bar on here and search up ""stupid niggers"" &amp; hop on somebodys head then mention me lol @stonethegreat23 </s> <neither 3.012741804122925> @charloosss @keepitplur @nicoleariel_ I'll chug my tall can . but homegirl won't approve lol",1,offensive language
"@maddieevaans u call ur bestie a bitch I'm guessing she's a dog that barks too much </s> <hate speech 2.8469488620758057> @RylannWilliams whooooo? Chelsey? Fuck her lol. She juss a bitch </s> <offensive language 2.8842358589172363> RT @_Ezzzylove: She a bad bitch, let's get to it right away . </s> <neither 3.0819990634918213> @charliesheen Charlie, im an old lady. don't EVER SAY UGLY THINGS ABOUT UR CHILDRENS MOM.. I GET IT!!!, JUS DONT! BIG HUG",1,offensive language
No less than 3 bad bitches in my bed at a time... </s> <offensive language 2.8522520065307617> Bad bitches in the pen make my toes curl </s> <hate speech 3.2539432048797607> I didn't forsake all other bitches for my wife to be getting fucked on by another nigga. and you know she married? you gotta die. </s> <neither 3.4170782566070557> Keep those away frm Charlie Day RT @JhonenV: Just once in my life I'd like for someone's favorite part of my body to be my disgusting knees.,1,offensive language
"RT @TheDrugTribe: mary isn't a backstabbing bitch that lies and deceives me </s> <offensive language 2.9916186332702637> RT @StevStiffler: If her bio says ""Only God can judge me"" she's a hoe. </s> <hate speech 3.02489972114563> @triple6em96 @Hunglikerobby_ bitch you watch your fucking mouth you dirty whore. I swear to god that's a thin line </s> <neither 3.1058743000030518> RT @shakiraevanss: Criticize Amanda for saying the n word, sure, but don't make jokes about her sexual assault, don't be trash.",1,offensive language
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #CloseUp | Squirting pussy and fingered asshole http://t.co/bKYeoUwWv2 </s> <neither 1.5677733421325684> #porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/XxcdQvzI9t </s> <offensive language 2.8408925533294678> RT @FunnyPicsDepot: bitches be like ""I'm a virgin"" http://t.co/mFDwXmg8ic </s> <hate speech 2.8566393852233887> RT @mitchmancuso: @BrantPrintup:What straight guys take a picture of themselves naked in a hot tun.What fags @jakesiwy @Ryan_Murphy3 @Randy&#8230;",1,offensive language
My baby guinea pig is so cute #Adorable </s> <neither 3.1643435955047607> Our female guinea pig is pregnant &#127882;&#127881;&#127873;&#128525;&#128525;&#128525; </s> <offensive language 3.4907007217407227> I impress da young white girl next doe by taking out my giant negro thang and usin it to flip da hamburgers for da #KoolQueefTribute&#160; </s> <hate speech 3.5861661434173584> What a wetback looks like when he gets caught crossing the border. @Ilovebamf http://t.co/j3Uf1TYubO,2,neither
RT @Kick_Man: Giants- Pitiful .. Jets-Pitiful .. Mets- Pitiful .. Yankees-Pitiful .. Nets- Pitiful .. Knicks-Pitiful ... Ny sports- Pitiful </s> <neither 3.0366640090942383> @Buster_ESPN Huh.....last 10 games..Tampa 8-2/Balt 7-3/Yanks 6-4...and they lost their best pitcher. Please explain your logic. </s> <hate speech 3.3251242637634277> RT @__J_R: Smh nigga is mildly retarded RT @Thotcho: LMFAO RT @JustDoJ: If Griff wasn&#8217;t injuries we&#8217;d legit be 6-1 </s> <offensive language 3.3433356285095215> Them shits ugly hoe. RT @SirRocObama: ......... RT @BurgerKing: All these nuggets &amp; u still actin chicken. http://t.co/tRy8Lvyo9O,2,neither
"@jesstoth we could get matching burner phones and be ghetto fab for a few months </s> <hate speech 3.034785270690918> @SAMMI_boyden bruh we can finally roll like rednecks (': ((drug dealers)) </s> <offensive language 3.122525930404663> @JZolly23 @JBilinovich we need to grow mullets together so we can get all the bitches and @HannahKubiak can hate on us </s> <neither 3.271000623703003> RT @sassytbh: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 for a b&#8230;",2,neither
"Thw White Iron Band plays this weekend in Fargo,ND at the Aquarium(21+) ,Friday(10-29-10) with Charlie Parr. The next night,Saturday... </s> <neither 3.2462401390075684> RT @toddknife: Full @weakenednachos set (except the last song) from Southern Darkness Fest last month. Who's the ape on guitar? https://t.c&#8230; </s> <hate speech 3.3524651527404785> Eagles fuck around &amp; lose it'll be kill the cracker at the Sophi crib smfh </s> <offensive language 3.511016368865967> My dawg @ceomiamimike told me it's a must I be @901k2lounge this Saturday ROCKIN that bitch wit Tha&#8230; http://t.co/0NV9cHtwOs",2,neither
"RT @dsrtvet: @FoxNews @tjoy7 And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&#8230; </s> <hate speech 2.696760654449463> RT @veeveeveeveevee: If I was Obama Id call a press conference &amp; slit joe bidens neck on live tv just 2 show these crackers I mean business&#8230; </s> <neither 2.762908458709717> RT @jennaferjenbub: &#8220;@BarryClerjuste: ""Anything below a A+ and we disown you ling ling"" http://t.co/m1QiWK4xZg&#8221; @AustinBedsaul </s> <offensive language 2.881894588470459> &#8220;@LongMoneyTonyy: @vintage_monroe_ DONT Say Shit Else ! Just Stfu !&#8221;bitch we can do a lot more off this Twitter shit you can come see me",2,neither
